Tipo de Empresa,Tipo de Carrera,Fecha de Publicacion,Experiencia,Ingles Requerido
DELCROSA,Ingeniería Industrial,29-Oct-2024,0 a más de 20 años,No
Nexa Resources,Ingeniería Química,29-Oct-2024,0 a más de 20 años,No
Machu Picchu Foods SAC,Ingeniería Industrial,29-Oct-2024,0 a más de 20 años,No
LIMA EXPRESA,Ingeniería Civil,29-Oct-2024,0 a más de 20 años,No
Talma Servicios Aeroportuarios,Ingeniería Industrial,29-Oct-2024,2 a 5 años,No
Consorcio Minero Horizonte,Ciencia de la Computación,29-Oct-2024,2 a 5 años,No
TRUPAL SA,Ingeniería Industrial,29-Oct-2024,0 a más de 20 años,No
Quimpac SA,Ingeniería Química,29-Oct-2024,0 a más de 20 años,No
IMBAREX SA,Ingeniería Industrial,28-Oct-2024,2 a más de 20 años,No
VOLCAN Compania Minera SAA,Ingeniería Ambiental,28-Oct-2024,0 a más de 20 años,No
A K DRILLING INTERNATIONAL SA,Ingeniería Electrónica,28-Oct-2024,2 a 5 años,No
Khana Consultores SAC,Ingeniería Química,28-Oct-2024,0 a más de 20 años,No
Ernst & Young SRL,Ciencia de la Computación,28-Oct-2024,2 a 5 años,Avanzado
ENTEL PERU,Ciencia de la Computación,28-Oct-2024,0 a 2 años,Intermedio
McKinsey & Company,Administración de Negocios Digitales,28-Oct-2024,2 a 5 años,Avanzado
McKinsey & Company,Administración de Negocios Digitales,28-Oct-2024,0 a más de 20 años,Avanzado
Oportunidades Career Services,Ingeniería Civil,25-Oct-2024,2 a 5 años,No
IMC PARTNERS,Ciencia de la Computación,25-Oct-2024,0 a más de 20 años,No
Trianon Asesores SA,Ingeniería Electrónica,25-Oct-2024,0 a 2 años,No
ANTARES LOGISTICS SA,Ingeniería Industrial,25-Oct-2024,0 a 2 años,No
